node_id,timestamp,battery_percent,heading_deg,in_trip,latitude_deg,longitude_deg,speed_kmph,"Bristol Port / Avonmouth Docks / GPS_02 Graham Robertson exported at Tuesday 3rd August 2021"
200,1620891204000,4.625,275.625,,51.4967817,-2.7020072,0
200,1620977633000,4.6,39.375,,51.4967183,-2.7021076,0
200,1621064059000,4.6,0,,51.4967392,-2.7022178,0
200,1621150490000,4.6,303.75,,51.496783,-2.7020865,0
200,1621236919000,4.6,0,,51.4967542,-2.7020551,0
200,1621323357000,4.6,0,,51.496775,-2.7021082,0
200,1621323972000,4.6,0,1,51.4967177,-2.7021161,0
200,1621324260000,4.6,0,,51.4968003,-2.7019737,0
200,1621410676000,4.6,0,,51.5052223,-2.7111287,0
200,1621412801000,4.6,258.75,1,51.5001985,-2.7388356,2
200,1621413370000,4.6,191.25,1,51.4986133,-2.7313948,1
200,1621414013000,4.6,292.5,1,51.4999685,-2.7372496,2
200,1621414582000,4.6,129.375,1,51.4987903,-2.7311642,5
200,1621415187000,4.6,281.25,1,51.4996403,-2.7350449,3
200,1621415387000,4.6,253.125,,51.5001592,-2.7383851,2
200,1621418813000,4.6,208.125,1,51.4986767,-2.7307235,0
200,1621419383000,4.6,286.875,1,51.4998994,-2.7367105,3
200,1621419684000,4.6,135,,51.5005821,-2.7384566,3
200,1621419969000,4.6,101.25,1,51.498618,-2.730799,4
200,1621420537000,4.6,286.875,1,51.4996466,-2.7346574,3
200,1621422295000,4.6,191.25,1,51.5002285,-2.7390323,0
200,1621422850000,4.6,0,,51.4987691,-2.7302034,0
200,1621424386000,4.6,275.625,1,51.4994556,-2.7325458,2
200,1621424942000,4.6,275.625,,51.500222,-2.7381955,2
200,1621425659000,4.6,320.625,1,51.4989035,-2.7306093,3
200,1621426091000,4.6,309.375,,51.4995931,-2.7333948,1
200,1621426750000,4.6,84.375,1,51.5003029,-2.7387869,8
200,1621427330000,4.6,275.625,1,51.49903,-2.7318199,2
200,1621427554000,4.6,264.375,,51.4993468,-2.7333061,2
200,1621430002000,4.6,253.125,1,51.49896,-2.7306175,1
200,1621430373000,4.6,275.625,,51.4994278,-2.7337927,3
200,1621431221000,4.6,106.875,1,51.4988751,-2.7305926,2
200,1621431789000,4.6,275.625,1,51.4995666,-2.734433,2
200,1621432423000,4.6,101.25,1,51.4987926,-2.7311355,3
200,1621433000000,4.6,275.625,1,51.4995204,-2.7339389,3
200,1621433603000,4.6,61.875,1,51.5061286,-2.7261921,14
200,1621434209000,4.6,0,1,51.5055606,-2.713229,0
200,1621434698000,4.6,39.375,,51.5054957,-2.7129633,0
200,1621435299000,4.6,140.625,,51.4979739,-2.7038356,12
200,1621435333000,4.6,129.375,1,51.4972696,-2.7026405,12
200,1621435828000,4.6,202.5,,51.4968652,-2.7020902,0
200,1621501638000,4.6,230.625,1,51.5033625,-2.7294572,13
200,1621502195000,4.6,275.625,,51.4995261,-2.7302965,1
200,1621502319000,4.6,315,1,51.4999746,-2.7309469,3
200,1621502961000,4.6,168.75,1,51.5011714,-2.733159,6
200,1621503531000,4.6,309.375,1,51.5000729,-2.7317275,1
200,1621503580000,4.6,320.625,,51.5001345,-2.7319798,1
200,1621505599000,4.6,157.5,1,51.4990435,-2.7292874,0
200,1621506242000,4.6,309.375,1,51.5005209,-2.731969,2
200,1621506812000,4.6,112.5,1,51.4994704,-2.7295785,7
200,1621507416000,4.6,331.875,1,51.5005671,-2.7309016,2
200,1621508050000,4.6,258.75,1,51.4991059,-2.7302302,1
200,1621508626000,4.6,343.125,1,51.4998563,-2.7314501,1
200,1621509233000,4.6,129.375,1,51.5018611,-2.7360594,6
200,1621509868000,4.6,303.75,1,51.4998579,-2.7299537,0
200,1621510237000,4.6,303.75,,51.5015902,-2.7329087,4
200,1621510955000,4.6,247.5,1,51.4992577,-2.7283896,2
200,1621511449000,4.6,241.875,,51.5004904,-2.7344285,1
